id V1 win_mid pi_n winpi frac_utr frac_cds entropy ling_complex exp d_xy_n d_xy_meanm frac_GC
chr1 1060001 chr1 1065000 1866 0.00347489238164479 0.1099 0.1024 0.998099169929988 0.889916087863373 3 1776 0.0187874719124719 0.464046
chr1 10610001 chr1 10615000 1387 0.00382537433727052 0 0 0.982778186262701 0.958037047999945 0 647 0.0146297545833867 0.392339
chr1 10620001 NA NA NA NA 0.0828 0 0.988597597752176 0.95139429067054 0 576 0.0328559027777778 0.411341
chr1 10630001 NA NA NA NA NA NA NA NA NA 1511 0.0273116911766812 NA
chr1 10640001 chr1 10645000 1386 0.00276810731356186 0.0579 0.0248 0.989219754320179 0.960590895636431 0 1230 0.0228798437335023 0.414041
chr1 10650001 chr1 10655000 1567 0.0027582287952422 0.1535 0.0293 0.980061693082521 0.953445629203351 1 1159 0.0310767748213822 0.383238
chr1 10660001 NA NA NA NA NA NA NA NA NA 1542 0.0157894958478616 NA
chr1 10670001 NA NA NA NA NA NA NA NA NA 1073 0.0129723646965026 NA
chr1 10680001 NA NA NA NA 0 0 0.962144650743377 0.920438353146877 0 221 0.0593925682160976 0.341134
chr1 10690001 chr1 10695000 1484 0.00190925426774483 0.0546 0.3142 0.992227078960667 0.940263369839817 4 914 0.00816424640275844 0.430643
chr1 10700001 NA NA NA NA 0 0 0.968370159353921 0.948200260203344 0 128 0.0286458333333333 0.357236
chr1 1070001 chr1 1075000 1035 0.00421629899890769 0 0 0.980844935815495 0.959668481665301 0 833 0.0315671723234748 0.386139
chr1 10710001 NA NA NA NA 0 0 0.9452135609484 0.890289331969349 0 NA NA 0.105311
chr1 10720001 NA NA NA NA 0 0.0058 0.965889745039918 0.921666653007368 0 106 0.0111900677938414 0.292329
chr1 10730001 chr1 10735000 1659 0.00321563106373233 0.082 0.1305 0.9837677131853 0.958801137184985 1 1588 0.0196485714117956 0.394939
chr1 10740001 chr1 10745000 2134 0.000669589704266368 0.1168 0.1138 0.981366697821551 0.959517040565564 4 1864 0.00882294565234479 0.392939
chr1 10750001 NA NA NA NA NA NA NA NA NA 1108 0.0317423851719881 NA
chr1 10760001 NA NA NA NA 0.0484 0.117 0.95809851025643 0.943491818738771 4 306 0.00901168548227372 0.332633
chr1 10770001 NA NA NA NA NA NA NA NA NA 856 0.0149085143828134 NA
chr1 10780001 NA NA NA NA 0.07 0.0833 0.989211224158412 0.959565226370026 3 642 0.0272359779369125 0.413741
chr1 10790001 NA NA NA NA 0.1322 0.2854 0.995899664346217 0.967157932415967 3 338 0.0174645866953559 0.450945
chr1 10800001 NA NA NA NA 0 0 0.895874296743393 0.903381981476284 0 NA NA 0.021002
chr1 1080001 NA NA NA NA 0 0 0.991024823146382 0.953679674539309 0 537 0.0468935161672592 0.422542
chr1 10810001 NA NA NA NA NA NA NA NA NA 824 0.0111871340633477 NA
chr1 10820001 NA NA NA NA NA NA NA NA NA 2370 0.021949432424116 NA
chr1 10830001 NA NA NA NA 0.0636 0.2623 0.996936409632173 0.956336599078494 4 595 0.00674269707883153 0.20202
chr1 10840001 NA NA NA NA 0 0 0.94853912146715 0.941916978726795 0 150 0.0368181818181818 0.185319
chr1 10850001 NA NA NA NA NA NA NA NA NA 1158 0.0140633546073961 NA
chr1 10880001 NA NA NA NA 0 0.117 0.966532340298013 0.95065184575271 1 NA NA 0.259526
chr1 10900001 NA NA NA NA 0 0.3624 0.990479857962603 0.956247289548499 1 NA NA 0.434843
chr1 1090001 chr1 1095000 1570 0.00137452780764883 0.123 0.1511 0.993324338931271 0.873966586586449 3 1504 0.0168783676429953 0.432143
chr1 10910001 NA NA NA NA 0 0 0.989039870866348 0.954657158001253 0 NA NA 0.428843
chr1 10920001 chr1 10925000 1646 0.00337088994440149 0.0944 0.066 0.984369173743785 0.949556346414632 4 1475 0.00738508572406877 0.40124
chr1 10930001 chr1 10935000 1227 0.00188871166866277 0.2002 0.0038 0.998734757956062 0.960122804964515 0 1192 0.0087556179838059 0.491049
chr1 10940001 chr1 10945000 1149 0.00118680275338238 0.1688 0.2795 0.996836912255169 0.966290587935651 3 1149 0.020193543039496 0.455946
chr1 10950001 chr1 10955000 1625 0.00224393042854582 0.1913 0.0724 0.990541462643546 0.964191063598378 0 1433 0.0191006597496479 0.424042
chr1 10960001 chr1 10965000 1222 0.000267817289093885 0.1471 0.1416 0.997340796988889 0.965574684555073 4 1202 0.0156017027897228 0.482148
chr1 10970001 NA NA NA NA 0.0488 0.0307 0.987125409625211 0.960859359404148 4 545 0.0237885967243765 0.406341
chr1 10980001 NA NA NA NA 0 0.1675 0.993997951487698 0.957610259446139 0 516 0.0224923655156213 0.437844
chr1 10990001 NA NA NA NA NA NA NA NA NA 799 0.0197974741153715 NA
chr1 11000001 chr1 11005000 1102 0.00247438586821527 0.229 0.0213 0.985124549065516 0.958243558590496 1 621 0.013699799931684 0.40014
chr1 1100001 NA NA NA NA 0.0306 0.0668 0.967074529306675 0.948909279897571 0 556 0.0295693515117976 0.350535
chr1 110001 chr1 115000 1574 0.00165376766393285 0.035 0.0752 0.962990762918802 0.949666485396259 3 1243 0.0278931714571296 0.341934
chr1 11010001 NA NA NA NA 0.104 0.0212 0.997698615540095 0.96467980532935 0 619 0.00690752435502032 0.461946
chr1 11020001 NA NA NA NA 0.2292 0.2466 0.997740071077168 0.87172250483579 4 875 0.0123760049474335 0.517252
chr1 11030001 chr1 11035000 1118 0.00167506911692958 0.251 0.2915 0.996189270523256 0.869671166302979 3 847 0.0155736825158313 0.545355
chr1 11040001 chr1 11045000 1320 0.00444214876033058 0 0 0.992090989253814 0.964039622498641 0 980 0.0286796536796537 0.426343
chr1 11050001 NA NA NA NA 0.0775 0.0482 0.974826183914493 0.949694020141666 0 664 0.0333134485995932 0.369437
chr1 11060001 NA NA NA NA 0.0579 0.034 0.95735397604543 0.945639528880506 0 756 0.0203423120089787 0.329833
chr1 11070001 chr1 11075000 1296 0.00119481855592967 0.0457 0.252 0.990375407925894 0.965340639219115 4 1208 0.013903521974714 0.421642
chr1 11080001 NA NA NA NA 0.0551 0.0038 0.981121478679696 0.953328606535372 0 NA NA 0.388639
chr1 11090001 NA NA NA NA NA NA NA NA NA 1457 0.0262738919739606 NA
chr1 11100001 NA NA NA NA NA NA NA NA NA 1314 0.0232284838449222 NA
chr1 1110001 NA NA NA NA 0.0298 0.0686 0.95376710176872 0.922840759683626 0 679 0.045543803275762 0.323532
chr1 11110001 NA NA NA NA NA NA NA NA NA 770 0.0390308176671813 NA
chr1 11120001 NA NA NA NA NA NA NA NA NA 602 0.0153780328198933 NA
chr1 11130001 chr1 11135000 1690 0.00421152811685356 0.0907 0.1502 0.990498398947445 0.965216732864784 4 1181 0.0275117205684522 0.419242
chr1 11140001 chr1 11145000 1805 0.000365986737177873 0.1453 0.1927 0.999284249750253 0.968569088118069 4 1582 0.0202807832706695 0.479248
chr1 11150001 NA NA NA NA 0 0.0933 0.97043026349068 0.944255907923811 0 609 0.0402074936557695 0.357836
chr1 11160001 chr1 11165000 1394 0.00128088076438148 0.1124 0.1705 0.998625368237135 0.96865169235429 4 1224 0.0195836298777475 0.482648
chr1 11170001 NA NA NA NA NA NA NA NA NA 906 0.0297224666429964 NA
chr1 11180001 NA NA NA NA 0 0 0.962327549353512 0.940690158393623 0 NA NA 0.343034
chr1 11190001 chr1 11195000 1465 0.0021527960094513 0.15 0.1506 0.984960355846624 0.962160376124622 2 1072 0.0269735705836452 0.40084
chr1 11200001 NA NA NA NA 0.1438 0.1988 0.97957877987687 0.956405614334588 3 425 0.00742424242424242 0.384338
chr1 1120001 chr1 1125000 2022 0.00572063940016464 0 0.2702 0.997785036087042 0.962015818711236 3 1516 0.010422547988511 0.517552
chr1 11210001 NA NA NA NA NA NA NA NA NA 206 0.0488011179758753 NA
chr1 11220001 chr1 11225000 1712 0.00173640611724724 0.0619 0.2153 0.99006671316954 0.961299915330658 3 1015 0.0113494551425586 0.429543
chr1 11230001 chr1 11235000 1700 0.0017356369121075 0.1932 0.0236 0.992219903344781 0.95332172284902 4 1537 0.0133170451322696 0.432243
chr1 11240001 NA NA NA NA 0.0604 0.0203 0.994505437844868 0.964507713170557 0 721 0.0320777119320809 0.438744
chr1 11250001 NA NA NA NA NA NA NA NA NA 2835 0.0129408422265565 NA
chr1 11260001 NA NA NA NA 0.1071 0.0551 0.970058798076878 0.860199213883019 2 456 0.0273325358851675 0.357136
chr1 11270001 NA NA NA NA 0.142 0 0.985418818822521 0.962084655574753 0 380 0.0420551378446115 0.405041
chr1 11280001 chr1 11285000 2215 0.00277384015533 0.0847 0.0724 0.988781848515281 0.963778042417275 1 1925 0.0324305391578119 0.412641
chr1 11290001 chr1 11295000 1591 0.00196765313044383 0 0.0514 0.993069584328887 0.963069022723049 0 1520 0.0236942553060974 0.431943
chr1 11300001 chr1 11305000 1510 0.00256533753222495 0 0.0194 0.99573149951424 0.965010222274232 0 1306 0.0232346775225795 0.446245
chr1 1130001 chr1 1135000 1113 0.0018486754335811 0.1938 0.1553 0.991852431020221 0.964493945797854 2 918 0.0158447217270747 0.425943
chr1 11310001 NA NA NA NA 0 0 0.984148488890057 0.958587742908082 0 404 0.0331139982130081 0.39564
chr1 11320001 NA NA NA NA 0.1335 0.032 0.988193738288675 0.961540844352968 1 523 0.0281381142757816 0.411441
chr1 11330001 NA NA NA NA 0.0739 0.0187 0.977816669670761 0.957431283600994 0 346 0.0366042916620951 0.376738
chr1 11340001 NA NA NA NA 0.0543 0 0.97241912007697 0.951325453807023 0 553 0.0318806871248101 0.362636
chr1 11350001 NA NA NA NA NA NA NA NA NA 1539 0.0127444030952803 NA
chr1 11360001 NA NA NA NA 0.1135 0.0615 0.976948211325875 0.956742914965823 1 246 0.0230556029336517 0.375238
chr1 11370001 NA NA NA NA 0.1163 0.0657 0.973359467586371 0.950967502116734 4 646 0.023888263439347 0.366437
chr1 11380001 NA NA NA NA 0 0.0484 0.979251904162427 0.918786268422466 0 NA NA 0.386239
chr1 11390001 NA NA NA NA 0.0755 0.0944 0.983034893994975 0.959916294373963 4 809 0.0036090197400457 0.392539
chr1 11400001 chr1 11405000 1277 0.00243705654825467 0.0321 0.0129 0.986666511860553 0.953638372421199 0 1172 0.00763337913508562 0.413041
chr1 1140001 chr1 1145000 1893 0.00070274856328739 0.1392 0.1452 0.991919757940839 0.965671056163997 3 1172 0.0230310787051401 0.427143
chr1 11410001 chr1 11415000 1814 0.00542465619643128 0.0701 0.2638 0.996909583529927 0.969202387262427 2 890 0.00681077349616675 0.454245
chr1 11420001 NA NA NA NA 0.0372 0.1088 0.969152060452313 0.952908701667917 2 764 0.0022380978532811 0.355336
chr1 11430001 NA NA NA NA 0.1187 0.0837 0.979571383644732 0.95858085922173 2 631 0.00786149930365461 0.381738
chr1 11440001 NA NA NA NA NA NA NA NA NA 635 0.0100494256399768 NA
chr1 11450001 NA NA NA NA 0.1588 0.1112 0.99037769104046 0.958505138671862 3 NA NA 0.420042
chr1 11460001 NA NA NA NA 0.2256 0.0804 0.995259131834819 0.800022027796325 3 NA NA 0.451845
chr1 11470001 NA NA NA NA NA NA NA NA NA 548 0.0205699713911393 NA
chr1 11480001 NA NA NA NA NA NA NA NA NA 2016 0.00468130992684564 NA
chr1 11490001 NA NA NA NA 0.0169 0 0.940640288100758 0.932663780107523 0 820 0.0438285291943829 0.30053
chr1 11500001 chr1 11505000 1731 0.00430205265560552 0 0.1871 0.981407958208958 0.951958752951381 3 1354 0.0203221200266991 0.387039
chr1 1150001 chr1 1155000 1230 0.000992855383099285 0.0642 0.1379 0.969923646945575 0.950809177330644 3 1020 0.0285130718954248 0.360736
chr1 11510001 NA NA NA NA 0 0 0.920995365666698 0.836753378169077 0 118 0.0404468412942989 0.270727
chr1 11520001 NA NA NA NA 0.1 0.0861 0.967361608064215 0.948998767820143 4 644 0.0228684359119142 0.351735
chr1 11530001 chr1 11535000 1502 0.000895775329863216 0.141 0.0977 0.99301843154957 0.962738605778166 3 991 0.0188744151912669 0.434343
chr1 11540001 NA NA NA NA NA NA NA NA NA 2076 0.0204852790112906 NA
chr1 11550001 NA NA NA NA 0.0786 0 0.916964463148963 0.835314687721569 0 NA NA 0.265027
chr1 11560001 NA NA NA NA NA NA NA NA NA 657 0.0192340890971028 NA
chr1 11570001 chr1 11575000 1137 0.00555621452719078 0.1684 0.0259 0.979595091831989 0.958195372786034 0 336 0.0185393475572047 0.382738
chr1 11580001 chr1 11585000 1879 0.00191963438371102 0.2074 0.122 0.996627082937171 0.966029007854286 4 1716 0.0275231761245747 0.459846
chr1 11590001 NA NA NA NA 0.0188 0.0277 0.959052768456562 0.944655161732211 0 543 0.00635359116022099 0.333633
chr1 11600001 NA NA NA NA 0.1682 0.1304 0.980449550579759 0.952722842136421 4 838 0.0275467174035193 0.386539
chr1 1160001 NA NA NA NA 0 0 0.95482600036574 0.941784664523546 0 NA NA 0.326033
chr1 11610001 NA NA NA NA 0.1326 0.1097 0.978092140805691 0.952289169896263 1 148 0.0423759798759799 0.378138
chr1 11620001 chr1 11625000 1905 0.00143959277817545 0.1185 0.189 0.992333358416607 0.963895065085254 3 1780 0.0171974561019505 0.433843
chr1 11630001 chr1 11635000 1164 0.00137957689504082 0.0778 0.0087 0.967099394431279 0.950237831363452 3 1050 0.0182784675641819 0.351235
chr1 11640001 NA NA NA NA 0 0 0.981478186503908 0.673795871164926 0 NA NA 0.39524
chr1 11650001 chr1 11655000 1156 0.00338943063856559 0.0248 0.0396 0.981828505967404 0.957747933173173 4 1002 0.0184328313070828 0.389539
chr1 11660001 NA NA NA NA 0 0 0.93402678019172 0.926688740354235 0 141 0.0905483405483405 0.289529
chr1 11670001 chr1 11675000 1595 0.00294992363957881 0.0914 0.1422 0.991622100602556 0.962855628446145 4 1290 0.0233140890117634 0.425343
chr1 11680001 NA NA NA NA NA NA NA NA NA 2275 0.00675071448697822 NA
chr1 11690001 NA NA NA NA NA NA NA NA NA 2024 0.00807057731464846 NA
chr1 11700001 chr1 11705000 2452 0.000928122991744527 0.2173 0.2529 0.999745181835505 0.966442029035389 4 2344 0.016285939600786 0.492349
chr1 1170001 chr1 1175000 1169 0.00145941882468829 0.1697 0.0325 0.987828530644769 0.951456243847705 4 1043 0.0213544844417328 0.412941
chr1 11710001 chr1 11715000 3143 0.00109497036000377 0.1181 0.118 0.999152814915079 0.967502116733553 3 3089 0.0131865787174949 0.477948
chr1 11720001 chr1 11725000 1791 0.00177825152699524 0.1353 0.1384 0.997490573766653 0.966448912721741 4 1596 0.0169040024303182 0.459246
chr1 11730001 chr1 11735000 1866 0.00427462855115588 0 0 0.975479336809263 0.956667194415954 0 729 0.0201521386706572 0.372537
chr1 11740001 NA NA NA NA NA NA NA NA NA 1296 0.0238826759660093 NA
chr1 11750001 chr1 11755000 1833 0.00397109709712001 0.0776 0.106 0.983547149114967 0.955634641463196 3 847 0.0520153891759559 0.39514
chr1 11760001 chr1 11765000 1285 0.00684824902723735 0.1874 0.4109 0.994288883634098 0.966359424799168 4 1049 0.0131657030608413 0.447445
chr1 11770001 NA NA NA NA 0 0 0.992781770553575 0.963124092213862 0 NA NA 0.434843
chr1 11780001 NA NA NA NA 0 0 0.982297278590795 0.945797853666596 0 NA NA 0.40074
chr1 11790001 NA NA NA NA 0 0.0847 0.991544034882927 0.944586324868694 0 NA NA 0.427543
chr1 11800001 NA NA NA NA 0 0 0.993152820155991 0.95582697692382 0 NA NA 0.062406
chr1 1180001 chr1 1185000 1985 0.000607587207083431 0.1065 0.4177 0.99232554830909 0.96520296549208 4 1561 0.0143264806941937 0.430543
chr1 11810001 NA NA NA NA 0 0 0.99374468404034 0.964646338726969 0 NA NA 0.123412
chr1 11820001 NA NA NA NA 0 0 0.994132310712907 0.957038874430709 0 NA NA 0.159416
chr1 11840001 NA NA NA NA 0 0 0.989985269668139 0.939713816561107 0 NA NA 0.234723
chr1 11850001 chr1 11855000 1493 0.000233412490612758 0.0476 0.1654 0.998907012502884 0.967550302538015 3 1489 0.0167908820528028 0.474347
chr1 11860001 chr1 11865000 1532 0.00338634385631775 0.1154 0 0.950612304776441 0.936511760778132 0 1417 0.0232785563060792 0.318532
chr1 11870001 chr1 11875000 1558 0.00135760687750418 0.1885 0.2488 0.998087668793908 0.963791809789979 4 1516 0.0118087442460793 0.469747
chr1 11880001 chr1 11885000 1034 0.00725270860667379 0.002 0 0.9637027487465 0.939829697599659 0 369 0.0458510775583946 0.345135
chr1 11890001 chr1 11895000 1648 0.0011063774413289 0.0342 0.3472 0.994871690449347 0.956261056921202 3 1638 0.010622644551216 0.447245
chr1 11900001 chr1 11905000 2072 0.00271326164183307 0.066 0.0846 0.984639864457154 0.959716667469763 2 1504 0.026130972307834 0.39874
chr1 1190001 chr1 1195000 1547 0.000775694893341952 0.0234 0.4273 0.995568882843475 0.965333755532763 4 1375 0.0223603305785124 0.451045
chr1 11910001 NA NA NA NA 0 0 0.980104732312101 0.854513288956502 0 NA NA 0.40014
chr1 11920001 chr1 11925000 1556 0.00746519975311748 0.1052 0.0581 0.970801556365567 0.951648987065553 1 545 0.0372139786818686 0.359436
chr1 11930001 NA NA NA NA NA NA NA NA NA 1133 0.0220634763882778 NA
chr1 11940001 chr1 11945000 1329 0.00346124905944319 0.2307 0.0534 0.995888975691154 0.966269936876596 1 935 0.0314431557747066 0.446845
chr1 11950001 chr1 11955000 1134 0.0015766126877238 0.1168 0.0953 0.993869993493757 0.960067735473701 3 991 0.0128434044932531 0.434943
chr1 11960001 NA NA NA NA NA NA NA NA NA 887 0.0312836167965818 NA
chr1 11970001 NA NA NA NA NA NA NA NA NA 1254 0.0180638274537796 NA
chr1 11980001 NA NA NA NA NA NA NA NA NA 304 0.0251295853269537 NA
chr1 11990001 chr1 11995000 1319 0.00266730994555104 0.1148 0.1389 0.987616062314962 0.963468276531448 3 1144 0.00880085823267641 0.412241
chr1 12000001 NA NA NA NA 0.1171 0.0263 0.989106752858344 0.960997033131182 0 573 0.0220484576505519 0.413441
chr1 1200001 chr1 1205000 2294 0.00113217209991404 0.1924 0.4112 0.996810594147399 0.964204830971082 3 1854 0.0136151155568631 0.453045
chr1 120001 chr1 125000 3254 0.000330595444301653 0.1052 0.1702 0.994178103705368 0.965030873333287 1 2961 0.0104105170974472 0.437744
chr1 12010001 chr1 12015000 1422 0.00538121044450158 0.2878 0.2651 0.999339081973891 0.968087230073449 4 1402 0.0105322637419642 0.479348
chr1 12020001 chr1 12025000 1754 0.00456326265904373 0.0675 0.1892 0.989481064192804 0.962910697936959 4 1636 0.0175075230393079 0.416842
chr1 12030001 NA NA NA NA 0.2365 0.166 0.984690967977713 0.95637119590283 4 612 0.0184343434343434 0.39764
chr1 12040001 NA NA NA NA 0.047 0.0066 0.984215216027495 0.957562073641677 0 308 0.0172176308539945 0.39604
chr1 12050001 NA NA NA NA 0.1682 0.198 0.996227077988249 0.962979534800476 2 708 0.0157041404922761 0.450945
chr1 12060001 NA NA NA NA NA NA NA NA NA 2191 0.020125720924443 NA
chr1 12070001 NA NA NA NA NA NA NA NA NA 1109 0.0206548936485817 NA
chr1 12090001 NA NA NA NA 0.0172 0.0316 0.964712737882751 0.952281601144526 4 NA NA 0.235224
chr1 12100001 NA NA NA NA NA NA NA NA NA 1315 0.0119083831251132 NA
chr1 1210001 chr1 1215000 1457 0.00422316187587292 0.1366 0.1238 0.976084537330984 0.862629155165174 0 1338 0.0180173588245337 0.372337
chr1 12110001 chr1 12115000 1441 0.00236222255653206 0.1502 0.0433 0.98789056117086 0.961995167652181 3 1293 0.00943415955016883 0.409041
chr1 12120001 NA NA NA NA NA NA NA NA NA 1706 0.00750470709439056 NA
chr1 12130001 NA NA NA NA NA NA NA NA NA 1940 0.0120666918991661 NA
chr1 12140001 NA NA NA NA NA NA NA NA NA 2230 0.0201332486646388 NA
chr1 12150001 chr1 12155000 1216 0.00205093700159489 0.1806 0.1051 0.997561469771132 0.965168547060322 4 1142 0.00769914557129969 0.461046
chr1 12160001 NA NA NA NA 0 0 0.971218894691632 0.950492527758465 0 386 0.0104372742973779 0.362336
chr1 12180001 NA NA NA NA NA NA NA NA NA 150 0.0285894660894661 NA
chr1 12190001 NA NA NA NA 0.0755 0.0556 0.988155335820399 0.934894094485479 0 NA NA 0.413341
chr1 12200001 chr1 12205000 1323 0.00408445170349932 0.0802 0.3017 0.990404173280059 0.963110324841159 3 1094 0.00693718225710913 0.423442
chr1 1220001 chr1 1225000 1251 0.00328669465360113 0.1027 0.0412 0.97966040395685 0.95950327319286 4 775 0.0194623655913978 0.384738
